method,timeout,depth,train_data,test_data,complexity_penalty,time,train_r2,test_r2,leaves,terminal_calls
dtip,1000,8,airfoil,airfoil,0,1001,-1,-1,-1,-1
dtip,1000,8,auction,auction,0,1001,-1,-1,-1,-1
dtip,1000,8,auto_mpg,auto_mpg,0,1001,-1,-1,-1,-1
dtip,1000,8,enb-cool,enb-cool,0,1001,-1,-1,-1,-1
dtip,1000,8,enb-heat,enb-heat,0,1001,-1,-1,-1,-1
dtip,1000,8,optical,optical,0,1001,-1,-1,-1,-1
dtip,1000,8,real-estate,real-estate,0,1001,-1,-1,-1,-1
dtip,1000,8,seoul-bike,seoul-bike,0,1001,-1,-1,-1,-1
dtip,1000,8,servo,servo,0,1001,-1,-1,-1,-1
dtip,1000,8,sync,sync,0,1001,-1,-1,-1,-1
dtip,1000,8,yacht,yacht,0,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,8,airfoil,airfoil,0.0001,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,8,airfoil,airfoil,0.001,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,8,airfoil,airfoil,0.01,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,8,airfoil,airfoil,0.1,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,8,auction,auction,0.0001,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,8,auction,auction,0.001,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,8,auction,auction,0.01,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,8,auction,auction,0.1,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,8,auto_mpg,auto_mpg,0.0001,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,8,auto_mpg,auto_mpg,0.001,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,8,auto_mpg,auto_mpg,0.01,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,8,auto_mpg,auto_mpg,0.1,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,8,enb-cool,enb-cool,0.0001,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,8,enb-cool,enb-cool,0.001,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,8,enb-cool,enb-cool,0.01,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,8,enb-cool,enb-cool,0.1,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,8,enb-heat,enb-heat,0.0001,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,8,enb-heat,enb-heat,0.001,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,8,enb-heat,enb-heat,0.01,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,8,enb-heat,enb-heat,0.1,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,8,optical,optical,0.0001,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,8,optical,optical,0.001,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,8,optical,optical,0.01,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,8,optical,optical,0.1,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,8,real-estate,real-estate,0.0001,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,8,real-estate,real-estate,0.001,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,8,real-estate,real-estate,0.01,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,8,real-estate,real-estate,0.1,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,8,seoul-bike,seoul-bike,0.0001,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,8,seoul-bike,seoul-bike,0.001,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,8,seoul-bike,seoul-bike,0.01,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,8,seoul-bike,seoul-bike,0.1,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,8,servo,servo,0.0001,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,8,servo,servo,0.001,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,8,servo,servo,0.01,1001,-1,-1,-1,-1
ort_lFalse_metricMAE,1000,8,servo,servo,0.1,1001,-1,-1,-1,-1
